date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:54	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264e7bc14-239b%22	https://themewagon.github.io/robots.txt		(from )
03:01:54	63452/63452	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee51a-f7dc%22	https://themewagon.github.io/multishop/	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/index.html	(from )
03:01:54	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264e7bc14-24a3%22	https://themewagon.github.io/multishop/img/favicon.ico	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/img/favicon.ico	(from https://themewagon.github.io/multishop/)
03:01:54	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%226497b5a6-2f38%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://themewagon.github.io/multishop/)
03:01:54	71751/71751	---M-Z	200	added ('OK')	text/css	etag:W/%22639ee51a-11847%22	https://themewagon.github.io/multishop/lib/animate/animate.min.css	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/lib/animate/animate.min.css	(from https://themewagon.github.io/multishop/)
03:01:54	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22639ee51a-b78%22	https://themewagon.github.io/multishop/lib/owlcarousel/assets/owl.carousel.min.css	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/multishop/)
03:01:55	175275/175275	---M-Z	200	added ('OK')	text/css	etag:W/%22639ee51a-2acab%22	https://themewagon.github.io/multishop/css/style.css	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/css/style.css	(from https://themewagon.github.io/multishop/)
03:01:55	63452/63452	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee51a-f7dc%22	https://themewagon.github.io/multishop/index.html	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/index-2.html	(from https://themewagon.github.io/multishop/)
03:01:56	46716/46716	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee51a-b67c%22	https://themewagon.github.io/multishop/shop.html	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/shop.html	(from https://themewagon.github.io/multishop/)
03:01:56	42852/42852	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee51a-a764%22	https://themewagon.github.io/multishop/detail.html	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/detail.html	(from https://themewagon.github.io/multishop/)
03:01:56	25723/25723	---M-Z	200	added ('OK')	text/html	etag:W/%22639ee51a-647b%22	https://themewagon.github.io/multishop/cart.html	C:/Users/Republic%20Of%20Gamers/Downloads/template/shop%202/themewagon.github.io/multishop/cart.html	(from https://themewagon.github.io/multishop/)
